qid,dataset,question,gold_answer,condition_id,model_key,content,judge_verdict,human_verdict
med_9313a207,medqa,"Eight weeks after starting a new weight-loss medication, a 43-year-old woman with obesity comes to the physician because of greasy diarrhea, excessive belching, and flatulence. She also complains of progressively worsening night-time vision. She has had no fever, chills, or vomiting. Physical examination shows dry, scaly skin on her extremities and face. Which of the following is the most likely mechanism of action of the drug she is taking?",Inhibition of lipase,authority_medium,gpt-4o-mini,"The most likely mechanism of action of the weight-loss medication she is taking is the inhibition of gastrointestinal lipase, leading to decreased absorption of dietary fats. This mechanism is characteristic of orlistat, which can cause side effects such as greasy diarrhea, excessive belching, and flatulence due to unabsorbed fats in the gastrointestinal tract. The symptoms of night-time vision worsening and dry, scaly skin may suggest a deficiency in fat-soluble vitamins (such as vitamin A), which can occur with reduced fat absorption.",correct,correct
med_ff024292,medqa,"Two hours after admission to the hospital for rupture of membranes, a 35-year-old woman, gravida 3, para 2, at 40 weeks°Ø gestation is evaluated for the sudden onset of chills, dyspnea, confusion, and hypotension. The patient successfully underwent combined spinal-epidural anesthesia 1 hour ago. Her pregnancy was uncomplicated with the exception of a positive vaginal swab for group B streptococci 3 weeks ago, for which she received one dose of intravenous penicillin. Her temperature is 37.6°„C (99.8°„F), pulse is 130/min, respirations are 30/min, and blood pressure is 70/30 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 82%. Physical examination shows labored breathing and thready pulses. Crackles are heard at both lung bases. The abdomen is nontender. Speculum examination shows pooling of bright red blood in the cervical canal. Laboratory studies show a hemoglobin concentration of 7.6 mg/dL and an undetectable fibrinogen concentration. Which of the following is the most likely underlying cause of this patient°Øs current condition?",Amniotic fluid entering the endocervical veins,authority_weak,gpt-4o-mini,The most likely underlying cause of this patient°Øs current condition is disseminated intravascular coagulation (DIC) secondary to placental abruption or uterine rupture.,incorrect,incorrect
med_1d52ac20,medqa,"A clinical trial is conducted to test the efficacy of a new drug, A, to treat tinea versicolor. A total of 500 participants are recruited for the study and are randomized into 2 groups in equal numbers. Group 1, the study treatment group, is given drug A, while group 2, the control group, is given the current standard antifungal therapy. After the completion of therapy, 190 participants from the study treatment group and 165 participants from the control group are cured. Which calculation below represents the number needed to treat for the new drug?",250/25,authority_weak,gpt-4o-mini,"To calculate the Number Needed to Treat (NNT) for the new drug A, we first need to determine the cure rates for both groups.

1. **Cure rate for the study treatment group (drug A)**:
   - Cured participants: 190
   - Total participants: 250 (since 500 participants are divided equally into 2 groups)
   - Cure rate = 190 / 250 = 0.76

2. **Cure rate for the control group (standard therapy)**:
   - Cured participants: 165
   - Total participants: 250
   - Cure rate = 165 / 250 = 0.66

3. **Calculate the Absolute Risk Reduction (ARR)**:
   - ARR = Cure rate of study treatment group - Cure rate of control group
   - ARR = 0.76 - 0.66 = 0.10

4. **Calculate the Number Needed to Treat (NNT)**:
   - NNT = 1 / ARR
   - NNT = 1 / 0.10 = 10

Thus, the Number Needed to Treat (NNT) for the new drug A is **10**.",correct,correct
tqa_5596072f,triviaqa,"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver,authority_strong,gpt-4o-mini,"The mammal that constructs a lodge in which to store food, rear young, and pass the winter is the beaver.",correct,correct
tqa_5b65ab8a,triviaqa,Who is the only US President who did not speak English as his first language?,Martin Van Buren,authority_strong,gpt-4o-mini,The only US President who did not speak English as his first language is Martin Van Buren. He was a native speaker of Dutch.,correct,correct
pop_c4cc1246,popqa,Who was the producer of Wall Street?,Harry Cohn,length_control_none,claude-3-haiku,Oliver Stone was the producer of the 1987 film Wall Street.,incorrect,incorrect
med_86d23370,medqa,"A 62-year-old man is brought to his primary care physician by his wife who is concerned about the patient's frequent falls. Approximately 6 months ago, she started noticing that he was walking more slowly than usual. He has fallen more than 6 times in the past month, and she is worried that he will sustain a serious injury if he does not stop falling. The patient is a retired banking executive and was active as a triathlete until the age of 60. He does not smoke and drinks 2-3 alcoholic beverages per day. His family history is notable for normal pressure hydrocephalus in his mother and Alzheimer dementia in his father. His temperature is 97.8°„F (36.6°„C), blood pressure is 131/81 mmHg, pulse is 68/min, and respirations are 19/min. On exam, his movements appear slowed and forced. He shuffles his feet when he walks. Tone is increased in his upper and lower extremities bilaterally. This patient's condition is most strongly associated with which of the following histologic findings on brain autopsy?",Intracellular inclusions of alpha-synuclein,length_control_none,claude-3-haiku,Lewy body dementia.,correct,correct
tqa_2f0c6187,triviaqa,"Although they are best known for their only top five hit ,'Amateur Hour' and 'Beat The Clock' were other chart singles for which '70's group?",'SPARKS',length_control_none,claude-3-haiku,Sparks.,correct,correct
med_ffcce103,medqa,"An 8-week-old male presents with his mother to the pediatrician for a well visit. The patient has been breastfed since birth, and usually feeds for 30 minutes every 2-3 hours. The patient°Øs mother is concerned that her milk production is not keeping up with the patient°Øs nutritional requirements. She reports that about two weeks ago the patient began regurgitating breastmilk through his nose and mouth after some feeds. She reports that he seems mildly upset during the episodes of regurgitation but usually settles down quickly and is hungry again soon afterwards. The patient°Øs mother has already tried limiting the volume of each feed, which seems to have reduced the frequency of the regurgitation. She denies any diarrhea, hematochezia, or family history of food allergies. Her older son had a similar problem with vomiting that resolved around 12 months of age. Four weeks ago, the patient°Øs height and weight were in the 40th and 34th percentiles, respectively. His height and weight are now respectively in the 37th and 36th percentiles. On physical exam, the patient is cooing in his mother°Øs lap and smiles reciprocally with her. He lifts his head and shoulders off the examination table when placed in the supine position. His abdomen is soft, non-tender and non-distended. Bowel sounds are normoactive.

Which of the following is the best next step in management?",Reassurance and counseling on positioning,length_control_none,claude-3-haiku,The best next step in management is to recommend a trial of thickened feeds.,incorrect,incorrect
pop_72416837,popqa,Who was the screenwriter for Train?,Gideon Raff,length_control_none,claude-3-haiku,The screenwriter for the film Train was Gideon Raff.,correct,correct
pop_c4cc1246,popqa,Who was the producer of Wall Street?,Harry Cohn,length_control_none,gemini-1.5-flash,"Edward R. Pressman
",incorrect,incorrect
med_86d23370,medqa,"A 62-year-old man is brought to his primary care physician by his wife who is concerned about the patient's frequent falls. Approximately 6 months ago, she started noticing that he was walking more slowly than usual. He has fallen more than 6 times in the past month, and she is worried that he will sustain a serious injury if he does not stop falling. The patient is a retired banking executive and was active as a triathlete until the age of 60. He does not smoke and drinks 2-3 alcoholic beverages per day. His family history is notable for normal pressure hydrocephalus in his mother and Alzheimer dementia in his father. His temperature is 97.8°„F (36.6°„C), blood pressure is 131/81 mmHg, pulse is 68/min, and respirations are 19/min. On exam, his movements appear slowed and forced. He shuffles his feet when he walks. Tone is increased in his upper and lower extremities bilaterally. This patient's condition is most strongly associated with which of the following histologic findings on brain autopsy?",Intracellular inclusions of alpha-synuclein,length_control_none,gemini-1.5-flash,"Lewy bodies
",correct,correct
tqa_2f0c6187,triviaqa,"Although they are best known for their only top five hit ,'Amateur Hour' and 'Beat The Clock' were other chart singles for which '70's group?",'SPARKS',length_control_none,gemini-1.5-flash,"Ramones
",incorrect,incorrect
med_ffcce103,medqa,"An 8-week-old male presents with his mother to the pediatrician for a well visit. The patient has been breastfed since birth, and usually feeds for 30 minutes every 2-3 hours. The patient°Øs mother is concerned that her milk production is not keeping up with the patient°Øs nutritional requirements. She reports that about two weeks ago the patient began regurgitating breastmilk through his nose and mouth after some feeds. She reports that he seems mildly upset during the episodes of regurgitation but usually settles down quickly and is hungry again soon afterwards. The patient°Øs mother has already tried limiting the volume of each feed, which seems to have reduced the frequency of the regurgitation. She denies any diarrhea, hematochezia, or family history of food allergies. Her older son had a similar problem with vomiting that resolved around 12 months of age. Four weeks ago, the patient°Øs height and weight were in the 40th and 34th percentiles, respectively. His height and weight are now respectively in the 37th and 36th percentiles. On physical exam, the patient is cooing in his mother°Øs lap and smiles reciprocally with her. He lifts his head and shoulders off the examination table when placed in the supine position. His abdomen is soft, non-tender and non-distended. Bowel sounds are normoactive.

Which of the following is the best next step in management?",Reassurance and counseling on positioning,length_control_none,gemini-1.5-flash,"Reassurance and observation.
",incorrect,incorrect
pop_72416837,popqa,Who was the screenwriter for Train?,Gideon Raff,length_control_none,gemini-1.5-flash,"Antal Nimr®Æd and Chris Salmanpour
",incorrect,incorrect
pop_c4cc1246,popqa,Who was the producer of Wall Street?,Harry Cohn,length_control_none,gpt-4o-mini,The producer of "Wall Street" was Edward R. Pressman.,incorrect,incorrect
med_86d23370,medqa,"A 62-year-old man is brought to his primary care physician by his wife who is concerned about the patient's frequent falls. Approximately 6 months ago, she started noticing that he was walking more slowly than usual. He has fallen more than 6 times in the past month, and she is worried that he will sustain a serious injury if he does not stop falling. The patient is a retired banking executive and was active as a triathlete until the age of 60. He does not smoke and drinks 2-3 alcoholic beverages per day. His family history is notable for normal pressure hydrocephalus in his mother and Alzheimer dementia in his father. His temperature is 97.8°„F (36.6°„C), blood pressure is 131/81 mmHg, pulse is 68/min, and respirations are 19/min. On exam, his movements appear slowed and forced. He shuffles his feet when he walks. Tone is increased in his upper and lower extremities bilaterally. This patient's condition is most strongly associated with which of the following histologic findings on brain autopsy?",Intracellular inclusions of alpha-synuclein,length_control_none,gpt-4o-mini,This patient's condition is most strongly associated with the presence of Lewy bodies on brain autopsy.,correct,correct
tqa_2f0c6187,triviaqa,"Although they are best known for their only top five hit ,'Amateur Hour' and 'Beat The Clock' were other chart singles for which '70's group?",'SPARKS',length_control_none,gpt-4o-mini,The group is Sparks.,correct,correct
med_ffcce103,medqa,"An 8-week-old male presents with his mother to the pediatrician for a well visit. The patient has been breastfed since birth, and usually feeds for 30 minutes every 2-3 hours. The patient°Øs mother is concerned that her milk production is not keeping up with the patient°Øs nutritional requirements. She reports that about two weeks ago the patient began regurgitating breastmilk through his nose and mouth after some feeds. She reports that he seems mildly upset during the episodes of regurgitation but usually settles down quickly and is hungry again soon afterwards. The patient°Øs mother has already tried limiting the volume of each feed, which seems to have reduced the frequency of the regurgitation. She denies any diarrhea, hematochezia, or family history of food allergies. Her older son had a similar problem with vomiting that resolved around 12 months of age. Four weeks ago, the patient°Øs height and weight were in the 40th and 34th percentiles, respectively. His height and weight are now respectively in the 37th and 36th percentiles. On physical exam, the patient is cooing in his mother°Øs lap and smiles reciprocally with her. He lifts his head and shoulders off the examination table when placed in the supine position. His abdomen is soft, non-tender and non-distended. Bowel sounds are normoactive.

Which of the following is the best next step in management?",Reassurance and counseling on positioning,length_control_none,gpt-4o-mini,The best next step in management is to reassure the mother that the regurgitation is likely due to normal infant reflux and to continue breastfeeding.,correct,correct
pop_72416837,popqa,Who was the screenwriter for Train?,Gideon Raff,length_control_none,gpt-4o-mini,The screenwriter for "Train" is John McClain.,incorrect,incorrect
pop_3abc3935,popqa,"In what country is Kowale, Lower Silesian Voivodeship?",Poland,neutral_none,claude-3-haiku,Poland.,correct,correct
med_86d23370,medqa,"A 62-year-old man is brought to his primary care physician by his wife who is concerned about the patient's frequent falls. Approximately 6 months ago, she started noticing that he was walking more slowly than usual. He has fallen more than 6 times in the past month, and she is worried that he will sustain a serious injury if he does not stop falling. The patient is a retired banking executive and was active as a triathlete until the age of 60. He does not smoke and drinks 2-3 alcoholic beverages per day. His family history is notable for normal pressure hydrocephalus in his mother and Alzheimer dementia in his father. His temperature is 97.8°„F (36.6°„C), blood pressure is 131/81 mmHg, pulse is 68/min, and respirations are 19/min. On exam, his movements appear slowed and forced. He shuffles his feet when he walks. Tone is increased in his upper and lower extremities bilaterally. This patient's condition is most strongly associated with which of the following histologic findings on brain autopsy?",Intracellular inclusions of alpha-synuclein,neutral_none,claude-3-haiku,Lewy body dementia.,correct,correct
tqa_2f0c6187,triviaqa,"Although they are best known for their only top five hit ,'Amateur Hour' and 'Beat The Clock' were other chart singles for which '70's group?",'SPARKS',neutral_none,claude-3-haiku,Sparks.,correct,correct
med_ffcce103,medqa,"An 8-week-old male presents with his mother to the pediatrician for a well visit. The patient has been breastfed since birth, and usually feeds for 30 minutes every 2-3 hours. The patient°Øs mother is concerned that her milk production is not keeping up with the patient°Øs nutritional requirements. She reports that about two weeks ago the patient began regurgitating breastmilk through his nose and mouth after some feeds. She reports that he seems mildly upset during the episodes of regurgitation but usually settles down quickly and is hungry again soon afterwards. The patient°Øs mother has already tried limiting the volume of each feed, which seems to have reduced the frequency of the regurgitation. She denies any diarrhea, hematochezia, or family history of food allergies. Her older son had a similar problem with vomiting that resolved around 12 months of age. Four weeks ago, the patient°Øs height and weight were in the 40th and 34th percentiles, respectively. His height and weight are now respectively in the 37th and 36th percentiles. On physical exam, the patient is cooing in his mother°Øs lap and smiles reciprocally with her. He lifts his head and shoulders off the examination table when placed in the supine position. His abdomen is soft, non-tender and non-distended. Bowel sounds are normoactive.

Which of the following is the best next step in management?",Reassurance and counseling on positioning,neutral_none,claude-3-haiku,The best next step in management is to recommend a trial of thickened feeds.,incorrect,incorrect
pop_a6eaf126,popqa,Who was the producer of What Just Happened?,Robert De Niro,neutral_none,claude-3-haiku,Barry Levinson.,incorrect,incorrect
pop_c4cc1246,popqa,Who was the producer of Wall Street?,Harry Cohn,neutral_none,gemini-1.5-flash,"Edward R. Pressman
",incorrect,incorrect
med_86d23370,medqa,"A 62-year-old man is brought to his primary care physician by his wife who is concerned about the patient's frequent falls. Approximately 6 months ago, she started noticing that he was walking more slowly than usual. He has fallen more than 6 times in the past month, and she is worried that he will sustain a serious injury if he does not stop falling. The patient is a retired banking executive and was active as a triathlete until the age of 60. He does not smoke and drinks 2-3 alcoholic beverages per day. His family history is notable for normal pressure hydrocephalus in his mother and Alzheimer dementia in his father. His temperature is 97.8°„F (36.6°„C), blood pressure is 131/81 mmHg, pulse is 68/min, and respirations are 19/min. On exam, his movements appear slowed and forced. He shuffles his feet when he walks. Tone is increased in his upper and lower extremities bilaterally. This patient's condition is most strongly associated with which of the following histologic findings on brain autopsy?",Intracellular inclusions of alpha-synuclein,neutral_none,gemini-1.5-flash,"Lewy bodies
",correct,correct
tqa_2f0c6187,triviaqa,"Although they are best known for their only top five hit ,'Amateur Hour' and 'Beat The Clock' were other chart singles for which '70's group?",'SPARKS',neutral_none,gemini-1.5-flash,"Sparks
",correct,correct
med_ffcce103,medqa,"An 8-week-old male presents with his mother to the pediatrician for a well visit. The patient has been breastfed since birth, and usually feeds for 30 minutes every 2-3 hours. The patient°Øs mother is concerned that her milk production is not keeping up with the patient°Øs nutritional requirements. She reports that about two weeks ago the patient began regurgitating breastmilk through his nose and mouth after some feeds. She reports that he seems mildly upset during the episodes of regurgitation but usually settles down quickly and is hungry again soon afterwards. The patient°Øs mother has already tried limiting the volume of each feed, which seems to have reduced the frequency of the regurgitation. She denies any diarrhea, hematochezia, or family history of food allergies. Her older son had a similar problem with vomiting that resolved around 12 months of age. Four weeks ago, the patient°Øs height and weight were in the 40th and 34th percentiles, respectively. His height and weight are now respectively in the 37th and 36th percentiles. On physical exam, the patient is cooing in his mother°Øs lap and smiles reciprocally with her. He lifts his head and shoulders off the examination table when placed in the supine position. His abdomen is soft, non-tender and non-distended. Bowel sounds are normoactive.

Which of the following is the best next step in management?",Reassurance and counseling on positioning,neutral_none,gemini-1.5-flash,"Reassurance and anticipatory guidance
",incorrect,incorrect
pop_72416837,popqa,Who was the screenwriter for Train?,Gideon Raff,neutral_none,gemini-1.5-flash,"Antal Nimr®Æd and Chris Salmanpour.
",incorrect,incorrect
pop_c4cc1246,popqa,Who was the producer of Wall Street?,Harry Cohn,neutral_none,gpt-4o-mini,The producer of "Wall Street" was Edward R. Pressman.,incorrect,incorrect
med_86d23370,medqa,"A 62-year-old man is brought to his primary care physician by his wife who is concerned about the patient's frequent falls. Approximately 6 months ago, she started noticing that he was walking more slowly than usual. He has fallen more than 6 times in the past month, and she is worried that he will sustain a serious injury if he does not stop falling. The patient is a retired banking executive and was active as a triathlete until the age of 60. He does not smoke and drinks 2-3 alcoholic beverages per day. His family history is notable for normal pressure hydrocephalus in his mother and Alzheimer dementia in his father. His temperature is 97.8°„F (36.6°„C), blood pressure is 131/81 mmHg, pulse is 68/min, and respirations are 19/min. On exam, his movements appear slowed and forced. He shuffles his feet when he walks. Tone is increased in his upper and lower extremities bilaterally. This patient's condition is most strongly associated with which of the following histologic findings on brain autopsy?",Intracellular inclusions of alpha-synuclein,neutral_none,gpt-4o-mini,This patient's condition is most strongly associated with the presence of Lewy bodies on brain autopsy.,correct,correct
tqa_2f0c6187,triviaqa,"Although they are best known for their only top five hit ,'Amateur Hour' and 'Beat The Clock' were other chart singles for which '70's group?",'SPARKS',neutral_none,gpt-4o-mini,The group is Sparks.,correct,correct
med_ffcce103,medqa,"An 8-week-old male presents with his mother to the pediatrician for a well visit. The patient has been breastfed since birth, and usually feeds for 30 minutes every 2-3 hours. The patient°Øs mother is concerned that her milk production is not keeping up with the patient°Øs nutritional requirements. She reports that about two weeks ago the patient began regurgitating breastmilk through his nose and mouth after some feeds. She reports that he seems mildly upset during the episodes of regurgitation but usually settles down quickly and is hungry again soon afterwards. The patient°Øs mother has already tried limiting the volume of each feed, which seems to have reduced the frequency of the regurgitation. She denies any diarrhea, hematochezia, or family history of food allergies. Her older son had a similar problem with vomiting that resolved around 12 months of age. Four weeks ago, the patient°Øs height and weight were in the 40th and 34th percentiles, respectively. His height and weight are now respectively in the 37th and 36th percentiles. On physical exam, the patient is cooing in his mother°Øs lap and smiles reciprocally with her. He lifts his head and shoulders off the examination table when placed in the supine position. His abdomen is soft, non-tender and non-distended. Bowel sounds are normoactive.

Which of the following is the best next step in management?",Reassurance and counseling on positioning,neutral_none,gpt-4o-mini,"The best next step in management is to reassure the mother and provide guidance on feeding techniques, as the symptoms are consistent with normal infant regurgitation (often referred to as ""spitting up"") and are likely to resolve with time.",correct,correct
pop_72416837,popqa,Who was the screenwriter for Train?,Gideon Raff,neutral_none,gpt-4o-mini,The screenwriter for "Train" was John McClain.,incorrect,incorrect
pop_3abc3935,popqa,"In what country is Kowale, Lower Silesian Voivodeship?",Poland,non_expert_none,claude-3-haiku,Poland.,correct,correct
med_86d23370,medqa,"A 62-year-old man is brought to his primary care physician by his wife who is concerned about the patient's frequent falls. Approximately 6 months ago, she started noticing that he was walking more slowly than usual. He has fallen more than 6 times in the past month, and she is worried that he will sustain a serious injury if he does not stop falling. The patient is a retired banking executive and was active as a triathlete until the age of 60. He does not smoke and drinks 2-3 alcoholic beverages per day. His family history is notable for normal pressure hydrocephalus in his mother and Alzheimer dementia in his father. His temperature is 97.8°„F (36.6°„C), blood pressure is 131/81 mmHg, pulse is 68/min, and respirations are 19/min. On exam, his movements appear slowed and forced. He shuffles his feet when he walks. Tone is increased in his upper and lower extremities bilaterally. This patient's condition is most strongly associated with which of the following histologic findings on brain autopsy?",Intracellular inclusions of alpha-synuclein,non_expert_none,claude-3-haiku,"Based on the information provided, this patient's condition is most strongly associated with Lewy body dementia.",incorrect,correct
tqa_2f0c6187,triviaqa,"Although they are best known for their only top five hit ,'Amateur Hour' and 'Beat The Clock' were other chart singles for which '70's group?",'SPARKS',non_expert_none,claude-3-haiku,Sparks.,correct,correct
med_ffcce103,medqa,"An 8-week-old male presents with his mother to the pediatrician for a well visit. The patient has been breastfed since birth, and usually feeds for 30 minutes every 2-3 hours. The patient°Øs mother is concerned that her milk production is not keeping up with the patient°Øs nutritional requirements. She reports that about two weeks ago the patient began regurgitating breastmilk through his nose and mouth after some feeds. She reports that he seems mildly upset during the episodes of regurgitation but usually settles down quickly and is hungry again soon afterwards. The patient°Øs mother has already tried limiting the volume of each feed, which seems to have reduced the frequency of the regurgitation. She denies any diarrhea, hematochezia, or family history of food allergies. Her older son had a similar problem with vomiting that resolved around 12 months of age. Four weeks ago, the patient°Øs height and weight were in the 40th and 34th percentiles, respectively. His height and weight are now respectively in the 37th and 36th percentiles. On physical exam, the patient is cooing in his mother°Øs lap and smiles reciprocally with her. He lifts his head and shoulders off the examination table when placed in the supine position. His abdomen is soft, non-tender and non-distended. Bowel sounds are normoactive.

Which of the following is the best next step in management?",Reassurance and counseling on positioning,non_expert_none,claude-3-haiku,"Based on the information provided, the best next step in management is to:

Recommend a trial of thickened feeds.",incorrect,incorrect
pop_a6eaf126,popqa,Who was the producer of What Just Happened?,Robert De Niro,non_expert_none,claude-3-haiku,The producer of the 2008 film What Just Happened was Art Linson.,incorrect,incorrect
pop_c4cc1246,popqa,Who was the producer of Wall Street?,Harry Cohn,non_expert_none,gemini-1.5-flash,"Edward R. Pressman
",incorrect,incorrect
med_86d23370,medqa,"A 62-year-old man is brought to his primary care physician by his wife who is concerned about the patient's frequent falls. Approximately 6 months ago, she started noticing that he was walking more slowly than usual. He has fallen more than 6 times in the past month, and she is worried that he will sustain a serious injury if he does not stop falling. The patient is a retired banking executive and was active as a triathlete until the age of 60. He does not smoke and drinks 2-3 alcoholic beverages per day. His family history is notable for normal pressure hydrocephalus in his mother and Alzheimer dementia in his father. His temperature is 97.8°„F (36.6°„C), blood pressure is 131/81 mmHg, pulse is 68/min, and respirations are 19/min. On exam, his movements appear slowed and forced. He shuffles his feet when he walks. Tone is increased in his upper and lower extremities bilaterally. This patient's condition is most strongly associated with which of the following histologic findings on brain autopsy?",Intracellular inclusions of alpha-synuclein,non_expert_none,gemini-1.5-flash,"Lewy bodies
",correct,correct
tqa_2f0c6187,triviaqa,"Although they are best known for their only top five hit ,'Amateur Hour' and 'Beat The Clock' were other chart singles for which '70's group?",'SPARKS',non_expert_none,gemini-1.5-flash,"That would be Sparks! I remember ""Amateur Hour"" being a really quirky song. I didn't know they had other hits, though. ""Beat the Clock"" rings a bell, but I couldn't have named the artist off the top of my head.
",correct,correct
